ID | CLASE | X (MAPA) | Y (MAPA)
----------------------------------------
1 | una botella | -1.199 | 0.846
2 | una botella | -1.193 | 0.838
3 | una botella | -1.187 | 0.83
4 | una botella | -1.199 | 0.846
5 | una botella | -1.193 | 0.838
6 | una botella | -1.193 | 0.838
7 | una botella | -1.187 | 0.83
8 | una botella | -1.186 | 0.831
9 | una botella | -1.186 | 0.831
10 | una botella | -1.193 | 0.838
11 | una botella | -1.199 | 0.846
12 | una botella | -1.187 | 0.83
13 | una botella | -1.193 | 0.838
14 | una botella | -1.193 | 0.838
15 | una botella | -1.18 | 0.823
16 | una botella | -1.231 | 0.788
17 | una botella | -1.204 | 0.854
18 | una botella | -1.19 | 0.84
19 | una botella | -1.16 | 0.851
20 | una botella | -1.177 | 0.822
21 | una botella | -1.199 | 0.791
22 | una botella | -1.216 | 0.793
23 | una botella | -1.222 | 0.801
24 | una botella | -1.215 | 0.794
25 | una botella | -1.215 | 0.794
26 | una botella | -1.215 | 0.794
27 | una planta | -0.335 | 1.255
28 | una planta | -0.305 | 1.26
29 | una planta | -0.308 | 1.25
30 | una planta | -0.305 | 1.26
31 | una planta | -0.307 | 1.25
32 | una planta | -0.309 | 1.25
33 | una planta | -0.308 | 1.26
34 | una planta | -0.309 | 1.25
35 | una planta | -0.306 | 1.26
36 | una planta | -0.307 | 1.25
37 | una planta | -0.307 | 1.25
38 | una planta | -0.306 | 1.26
39 | una planta | -0.306 | 1.26
40 | una planta | -0.307 | 1.25
41 | una planta | -0.307 | 1.26
42 | una planta | -0.277 | 1.255
43 | una planta | -0.862 | 1.269
44 | una botella | 0.199 | 0.437
45 | una botella | 0.191 | 0.444
46 | una botella | 0.188 | 0.452
47 | una botella | 0.188 | 0.452
48 | una botella | 0.188 | 0.452
49 | una botella | 0.188 | 0.452
50 | una botella | 0.187 | 0.453
51 | una botella | 0.188 | 0.452
52 | una botella | 0.187 | 0.453
53 | una botella | 0.188 | 0.452
54 | una botella | 0.188 | 0.452
55 | una botella | 0.188 | 0.452
56 | una botella | 0.196 | 0.441
57 | una botella | 0.19 | 0.448
58 | una botella | 0.191 | 0.454
59 | una botella | -2.419 | -0.01
60 | una botella | -2.761 | -0.067
61 | una botella | -1.811 | -0.106
62 | una botella | -1.814 | -0.111
63 | una botella | -1.814 | -0.111
64 | una botella | -1.814 | -0.111
65 | una botella | -1.814 | -0.111
66 | una botella | -1.814 | -0.111
67 | una botella | -1.814 | -0.111
68 | una botella | -1.814 | -0.111
69 | una botella | -1.814 | -0.111
70 | una botella | -1.814 | -0.111
71 | una botella | -1.814 | -0.111
72 | una botella | -1.814 | -0.111
73 | una botella | -1.814 | -0.111
74 | una botella | -1.814 | -0.111
75 | una botella | -1.814 | -0.111
76 | una botella | -1.814 | -0.111
77 | una botella | -1.814 | -0.111
78 | una botella | -1.814 | -0.111
79 | una botella | -1.814 | -0.111
80 | una botella | -1.814 | -0.111
81 | una botella | -1.814 | -0.111
82 | una botella | -1.814 | -0.111
83 | una botella | -1.814 | -0.111
84 | una botella | -1.814 | -0.111
85 | una botella | -1.814 | -0.111
86 | una botella | -1.814 | -0.111
87 | una botella | -1.814 | -0.111
88 | una botella | -1.814 | -0.112
89 | una botella | -1.814 | -0.111
90 | una botella | -1.814 | -0.111
91 | una botella | -1.814 | -0.111
92 | una botella | -1.814 | -0.111
93 | una botella | -1.814 | -0.111
94 | una botella | -1.814 | -0.111
95 | una botella | -1.814 | -0.111
96 | una botella | -1.814 | -0.111
97 | una botella | -1.814 | -0.111
98 | una botella | -1.814 | -0.111
99 | una botella | -1.814 | -0.111
