ID | CLASE | X (MAPA) | Y (MAPA)
100 | una botella | -1.814 | -0.111
101 | una botella | -1.814 | -0.111
102 | una botella | -1.814 | -0.111
103 | una botella | -1.814 | -0.112
104 | una botella | -1.814 | -0.111
105 | una botella | -1.814 | -0.111
106 | una botella | -1.814 | -0.111
107 | una botella | -1.814 | -0.111
108 | una botella | -1.814 | -0.111
109 | una botella | -1.814 | -0.111
110 | una botella | -1.814 | -0.111
111 | una botella | -1.814 | -0.111
112 | una botella | -1.814 | -0.111
113 | una botella | -1.814 | -0.111
114 | una botella | -1.814 | -0.111
115 | una botella | -1.814 | -0.111
116 | una botella | -1.814 | -0.111
117 | una botella | -1.814 | -0.111
118 | una botella | -1.814 | -0.111
119 | una botella | -1.814 | -0.112
120 | una botella | -1.814 | -0.111
121 | una botella | -1.814 | -0.111
122 | una botella | -1.814 | -0.111
123 | una botella | -1.814 | -0.111
124 | una botella | -1.814 | -0.111
125 | una botella | -1.814 | -0.111
126 | una botella | -1.814 | -0.111
127 | una botella | -1.814 | -0.111
128 | una botella | -1.814 | -0.111
129 | una botella | -1.814 | -0.111
130 | una botella | -1.814 | -0.111
131 | una botella | -1.814 | -0.111
132 | una botella | -1.814 | -0.112
133 | una botella | -1.814 | -0.111
134 | una botella | -1.814 | -0.111
135 | una botella | -1.814 | -0.111
136 | una botella | -1.814 | -0.112
137 | una botella | -1.814 | -0.111
138 | una botella | -1.814 | -0.111
139 | una botella | -1.814 | -0.112
140 | una botella | -1.814 | -0.111
141 | una botella | -1.814 | -0.111
142 | una botella | -1.814 | -0.111
143 | una botella | -1.814 | -0.111
144 | una botella | -1.814 | -0.112
145 | una botella | -1.814 | -0.111
146 | una botella | -1.814 | -0.111
147 | una botella | -1.814 | -0.111
148 | una botella | -1.814 | -0.111
149 | una botella | -1.814 | -0.111
150 | una botella | -1.814 | -0.111
151 | una botella | -1.814 | -0.111
152 | una botella | -1.814 | -0.111
153 | una botella | -1.814 | -0.111
154 | una botella | -1.814 | -0.111
155 | una botella | -1.814 | -0.111
156 | una botella | -1.814 | -0.111
157 | una botella | -1.814 | -0.112
158 | una botella | -1.814 | -0.111
159 | una botella | -1.814 | -0.111
160 | una botella | -1.814 | -0.111
161 | una botella | -1.814 | -0.111
162 | una botella | -1.814 | -0.112
163 | una botella | -1.814 | -0.111
164 | una botella | -1.814 | -0.111
165 | una botella | -1.814 | -0.111
166 | una botella | -1.814 | -0.111
167 | una botella | -1.814 | -0.111
168 | una botella | -1.814 | -0.111
169 | una botella | -1.814 | -0.111
170 | una botella | -1.814 | -0.111
171 | una botella | -1.814 | -0.111
172 | una botella | -1.814 | -0.111
173 | una botella | -1.814 | -0.111
174 | una botella | -1.814 | -0.111
175 | una botella | -1.814 | -0.111
176 | una botella | -1.814 | -0.111
177 | una botella | -1.814 | -0.111
178 | una botella | -1.814 | -0.111
179 | una botella | -1.814 | -0.111
180 | una botella | -1.814 | -0.111
181 | una botella | -1.814 | -0.111
182 | una botella | -1.814 | -0.111
183 | una botella | -1.814 | -0.111
184 | una botella | -1.814 | -0.111
185 | una botella | -1.814 | -0.111
186 | una botella | -1.814 | -0.111
187 | una botella | -1.814 | -0.111
188 | una botella | -1.814 | -0.111
189 | una botella | -1.814 | -0.111
190 | una botella | -1.814 | -0.111
191 | una botella | -1.814 | -0.112
192 | una botella | -1.814 | -0.111
193 | una botella | -1.814 | -0.111
194 | una botella | -1.814 | -0.111
195 | una botella | -1.814 | -0.112
196 | una botella | -1.814 | -0.112
197 | una botella | -1.814 | -0.111
198 | una botella | -1.814 | -0.111
199 | una botella | -1.814 | -0.111
200 | una botella | -1.814 | -0.112
201 | una botella | -1.814 | -0.111
202 | una botella | -1.814 | -0.111
203 | una botella | -1.814 | -0.111
204 | una botella | -1.814 | -0.111
205 | una botella | -1.814 | -0.111
206 | una botella | -1.814 | -0.111
207 | una botella | -1.814 | -0.111
208 | una botella | -1.814 | -0.111
209 | una botella | -1.814 | -0.112
210 | una botella | -1.814 | -0.111
211 | una botella | -1.814 | -0.111
212 | una botella | -1.814 | -0.111
213 | una botella | -1.814 | -0.111
214 | una botella | -1.814 | -0.111
215 | una botella | -1.814 | -0.111
216 | una botella | -1.814 | -0.111
217 | una botella | -1.814 | -0.111
218 | una botella | -1.814 | -0.111
219 | una botella | -1.814 | -0.111
220 | una botella | -1.814 | -0.111
221 | una botella | -1.814 | -0.111
222 | una botella | -1.814 | -0.111
223 | una botella | -1.814 | -0.111
224 | una botella | -1.814 | -0.111
225 | una botella | -1.814 | -0.111
226 | una botella | -1.814 | -0.111
227 | una botella | -1.814 | -0.111
228 | una botella | -1.814 | -0.111
229 | una botella | -1.814 | -0.111
230 | una botella | -1.814 | -0.111
231 | una botella | -1.814 | -0.111
232 | una botella | -1.814 | -0.111
233 | una botella | -1.814 | -0.111
234 | una botella | -1.814 | -0.112
235 | una botella | -1.814 | -0.111
236 | una botella | -1.814 | -0.111
