ID | CLASE | X (MAPA) | Y (MAPA)
----------------------------------------
1 | una botella | -0.191 | -0.22
2 | una botella | -0.191 | -0.22
3 | una botella | -0.191 | -0.22
4 | una botella | -0.225 | -0.256
5 | una botella | -0.218 | -0.263
6 | una botella | -0.203 | -0.276
7 | una botella | -0.21 | -0.269
8 | una botella | -0.203 | -0.276
9 | una botella | -0.203 | -0.276
10 | una botella | -0.203 | -0.276
11 | una botella | -0.203 | -0.276
12 | una botella | -0.203 | -0.276
13 | una botella | -0.203 | -0.276
14 | una botella | -0.203 | -0.276
15 | una botella | -0.203 | -0.276
16 | una botella | -0.203 | -0.276
17 | una botella | -0.203 | -0.276
18 | una botella | -0.203 | -0.276
19 | una botella | -0.203 | -0.276
20 | una botella | -0.203 | -0.276
21 | una botella | -0.203 | -0.276
22 | una botella | -0.203 | -0.276
23 | una botella | -0.203 | -0.276
24 | una botella | -0.203 | -0.276
25 | una botella | -0.203 | -0.276
26 | una botella | -0.229 | -0.26
27 | una botella | 0.256 | 0.405
28 | una planta | -0.402 | 2.663
29 | una planta | -0.448 | 2.644
30 | una planta | -0.512 | 2.614
31 | una planta | -0.567 | 2.598
32 | una planta | -0.713 | 1.35
33 | una planta | -0.65 | 1.35
34 | una planta | -0.559 | 1.313
35 | una planta | -0.651 | 1.38
36 | una planta | -0.655 | 1.352
37 | una botella | 0.214 | 0.567
38 | una botella | 0.144 | 0.554
39 | una botella | 0.139 | 0.571
40 | una botella | -2.354 | -0.259
41 | una botella | -2.236 | -2.8
42 | una botella | -0.4 | -3.533
43 | una botella | -0.357 | -3.226
44 | una botella | -0.412 | -3.256
45 | una botella | -0.386 | -3.256
46 | una botella | -0.184 | -3.375
47 | una botella | 0.304 | -2.597
48 | una botella | 0.308 | -2.525
49 | una botella | 0.329 | -2.586
50 | una botella | 0.3 | -2.622
51 | una botella | 0.297 | -2.643
52 | una botella | -0.03 | -3.487
53 | una botella | 0.512 | -2.793
54 | una botella | 0.53 | -2.776
55 | una botella | 0.53 | -2.777
56 | una botella | 0.53 | -2.777
57 | una botella | 0.53 | -2.777
58 | una botella | 0.53 | -2.776
59 | una botella | 0.53 | -2.777
60 | una botella | 0.53 | -2.776
61 | una botella | 0.53 | -2.777
62 | una botella | 0.53 | -2.776
63 | una botella | 0.54 | -2.777
64 | una botella | 0.53 | -2.776
65 | una botella | 0.53 | -2.777
66 | una botella | 0.53 | -2.776
