ID | CLASE | X (MAPA) | Y (MAPA)
----------------------------------------
1 | una botella | 0.151 | 0.469
2 | una botella | 0.151 | 0.469
3 | una botella | 0.159 | 0.475
4 | una botella | 0.151 | 0.469
5 | una botella | 0.151 | 0.469
6 | una botella | 0.159 | 0.475
7 | una botella | 0.15 | 0.469
8 | una botella | 0.151 | 0.469
9 | una botella | 0.151 | 0.469
10 | una botella | 0.151 | 0.469
11 | una botella | 0.15 | 0.469
12 | una botella | 0.158 | 0.475
13 | una botella | 0.159 | 0.475
14 | una botella | 0.158 | 0.475
15 | una botella | 0.15 | 0.469
16 | una botella | 0.151 | 0.469
17 | una botella | 0.151 | 0.469
18 | una botella | 0.159 | 0.475
19 | una botella | 0.151 | 0.469
20 | una botella | 0.159 | 0.475
21 | una botella | 0.151 | 0.469
22 | una botella | 0.15 | 0.469
23 | una botella | 0.151 | 0.469
24 | una botella | 0.15 | 0.469
25 | una botella | 0.158 | 0.475
26 | una botella | 0.15 | 0.469
27 | una botella | 0.151 | 0.469
28 | una botella | 0.151 | 0.469
29 | una botella | 0.15 | 0.469
30 | una botella | 0.158 | 0.475
31 | una botella | 0.159 | 0.475
32 | una botella | 0.159 | 0.475
33 | una botella | 0.151 | 0.469
34 | una botella | 0.151 | 0.469
35 | una botella | 0.147 | 0.468
36 | una botella | 0.151 | 0.463
37 | una botella | 0.15 | 0.458
38 | una botella | 0.139 | 0.45
39 | una botella | 0.151 | 0.454
40 | una botella | 0.122 | 0.446
41 | una planta | -0.35 | 1.185
42 | una planta | -0.346 | 1.176
43 | una planta | -0.392 | 1.185
44 | una planta | -0.358 | 1.18
45 | una planta | -0.36 | 1.18
46 | una planta | -0.359 | 1.18
47 | una planta | -0.357 | 1.19
48 | una planta | -0.358 | 1.18
49 | una planta | -0.359 | 1.18
50 | una planta | -0.36 | 1.17
51 | una planta | -0.359 | 1.18
52 | una planta | -0.359 | 1.18
53 | una planta | -0.358 | 1.18
54 | una planta | -0.359 | 1.17
55 | una planta | -0.359 | 1.18
56 | una planta | -0.359 | 1.18
57 | una planta | -0.357 | 1.18
58 | una planta | -0.358 | 1.18
59 | una planta | -0.367 | 1.182
60 | una planta | -1.46 | 1.176
61 | una botella | -1.4 | 1.222
62 | una botella | -1.431 | 1.277
63 | una botella | -1.313 | 1.233
64 | una botella | -1.36 | 1.263
65 | una botella | -1.347 | 1.235
66 | una botella | -1.341 | 1.227
67 | una botella | -1.346 | 1.236
68 | una botella | -1.366 | 1.27
69 | una botella | -1.361 | 1.262
70 | una botella | -1.342 | 1.227
71 | una botella | -1.346 | 1.236
72 | una botella | -1.342 | 1.227
73 | una botella | -1.333 | 1.209
74 | una botella | -1.362 | 1.261
75 | una botella | -1.356 | 1.253
76 | una botella | -1.361 | 1.262
77 | una botella | -1.366 | 1.27
78 | una botella | -1.347 | 1.235
79 | una botella | -1.347 | 1.236
80 | una botella | -1.361 | 1.262
81 | una botella | -1.351 | 1.245
82 | una botella | -1.356 | 1.253
83 | una botella | -1.356 | 1.253
84 | una botella | -1.347 | 1.236
85 | una botella | -1.361 | 1.262
86 | una botella | -1.348 | 1.235
87 | una botella | -1.347 | 1.236
88 | una botella | -1.361 | 1.262
