ID | CLASE | X (MAPA) | Y (MAPA)
----------------------------------------
1 | una botella | 0.197 | 0.394
2 | una botella | 0.208 | 0.421
3 | una planta | -0.422 | 2.591
4 | una planta | -0.495 | 2.551
5 | una planta | -0.491 | 2.549
6 | una planta | -0.494 | 2.551
7 | una planta | -0.493 | 2.55
8 | una planta | -0.493 | 2.55
9 | una planta | -0.493 | 2.55
10 | una planta | -0.493 | 2.55
11 | una planta | -0.501 | 2.552
12 | una planta | -0.545 | 2.55
13 | una planta | -0.533 | 2.563
14 | una planta | -0.636 | 2.565
15 | una planta | -0.632 | 2.617
16 | una planta | -0.615 | 1.488
17 | una planta | -0.71 | 1.396
18 | una planta | -0.655 | 1.45
19 | una planta | -0.636 | 1.47
20 | una planta | -0.617 | 1.446
21 | una planta | -0.644 | 1.446
22 | una planta | -0.654 | 1.433
23 | una planta | -0.654 | 1.434
24 | una planta | -0.657 | 1.432
25 | una planta | -0.66 | 1.442
26 | una planta | -0.663 | 1.44
27 | una planta | -0.656 | 1.432
28 | una planta | -0.663 | 1.44
29 | una planta | -0.659 | 1.442
30 | una planta | -0.657 | 1.444
31 | una planta | -0.653 | 1.434
32 | una planta | -0.659 | 1.442
33 | una planta | -0.654 | 1.434
34 | una planta | -0.66 | 1.441
35 | una planta | -0.661 | 1.441
36 | una planta | -0.656 | 1.432
37 | una planta | -0.641 | 1.409
38 | una planta | -0.643 | 1.416
39 | una botella | -1.82 | -0.65
40 | una botella | -1.658 | -0.67
41 | una botella | -1.59 | -0.667
42 | una botella | -1.571 | -0.663
43 | una botella | -2.813 | -0.269
44 | una botella | -2.344 | -0.209
45 | una botella | -2.344 | -0.209
46 | una botella | -2.344 | -0.209
47 | una botella | -2.344 | -0.209
48 | una botella | -2.344 | -0.209
49 | una botella | -2.386 | -0.209
50 | una botella | -2.328 | -0.207
51 | una botella | -2.292 | -0.201
52 | una botella | -2.292 | -0.201
53 | una botella | -2.292 | -0.201
54 | una botella | -2.292 | -0.2
55 | una botella | -2.292 | -0.201
56 | una botella | -2.292 | -0.201
57 | una botella | -2.292 | -0.201
58 | una botella | -2.292 | -0.2
59 | una botella | -2.292 | -0.201
60 | una botella | -2.292 | -0.201
61 | una botella | -2.292 | -0.201
62 | una botella | -2.292 | -0.2
63 | una botella | -2.292 | -0.201
64 | una botella | -2.292 | -0.201
65 | una botella | -2.292 | -0.201
66 | una botella | -2.292 | -0.2
67 | una botella | -2.307 | -0.224
68 | una botella | -2.314 | -0.223
69 | una botella | -2.345 | -0.214
70 | una botella | -2.313 | -0.269
71 | un reloj | -2.427 | -0.891
72 | una botella | -0.559 | -3.555
73 | una botella | -2.29 | -2.658
74 | una botella | -0.554 | -3.563
75 | una botella | -2.29 | -2.658
76 | una botella | -2.291 | -2.658
77 | una botella | -0.559 | -3.555
78 | una botella | -0.56 | -3.555
79 | una botella | -0.56 | -3.555
80 | una botella | -0.555 | -3.564
81 | una botella | -2.29 | -2.658
82 | una botella | -0.555 | -3.564
83 | una botella | -0.554 | -3.563
84 | una botella | -0.569 | -3.538
85 | una botella | -2.293 | -2.666
86 | una botella | -0.476 | -3.632
87 | una botella | -2.269 | -2.702
88 | una botella | -2.195 | -2.669
89 | una botella | -0.435 | -3.233
90 | una botella | -0.407 | -3.234
91 | una botella | -0.407 | -3.234
92 | una botella | -0.422 | -3.221
93 | una botella | -0.407 | -3.234
94 | una botella | -0.251 | -3.375
95 | una botella | -0.407 | -3.234
96 | una botella | -0.222 | -3.402
97 | una botella | -0.407 | -3.234
98 | una botella | -0.414 | -3.227
99 | una botella | -0.414 | -3.227
100 | una botella | -0.407 | -3.234
101 | una botella | -0.414 | -3.227
102 | una botella | -0.408 | -3.235
103 | una botella | -0.403 | -3.239
104 | una botella | -0.409 | -3.222
105 | una botella | -0.401 | -3.223
106 | una botella | -0.399 | -3.224
107 | una botella | 0.298 | -2.711
108 | una botella | 0.323 | -2.736
109 | una botella | 0.311 | -2.693
110 | una botella | 0.3 | -2.681
111 | una botella | 0.31 | -2.693
112 | una botella | 0.31 | -2.694
113 | una botella | 0.309 | -2.695
114 | una botella | 0.309 | -2.695
115 | una botella | 0.309 | -2.695
116 | una botella | 0.309 | -2.695
117 | una botella | 0.309 | -2.695
118 | una botella | 0.3 | -2.693
119 | una botella | 0.3 | -2.693
120 | una botella | 0.31 | -2.694
121 | una botella | 0.31 | -2.694
122 | una botella | 0.3 | -2.692
123 | una botella | 0.3 | -2.693
124 | una botella | 0.309 | -2.695
125 | una botella | 0.3 | -2.692
126 | una botella | 0.31 | -2.694
127 | una botella | 0.3 | -2.693
128 | una botella | 0.309 | -2.695
129 | una botella | 0.309 | -2.695
130 | una botella | 0.31 | -2.694
131 | una botella | 0.3 | -2.693
132 | una botella | 0.3 | -2.693
133 | una botella | 0.309 | -2.695
134 | una botella | 0.309 | -2.695
135 | una botella | 0.309 | -2.695
136 | una botella | 0.3 | -2.692
137 | una botella | 0.309 | -2.695
138 | una botella | 0.3 | -2.693
139 | una botella | 0.312 | -2.713
140 | una botella | 0.296 | -2.698
141 | una botella | 0.293 | -2.699
142 | una botella | 0.294 | -2.699
143 | una botella | 0.287 | -2.701
144 | una botella | 0.285 | -2.719
145 | una botella | -0.228 | -3.381
146 | una botella | 0.316 | -2.686
147 | una botella | 0.316 | -2.686
148 | una botella | 0.316 | -2.685
149 | una botella | 0.316 | -2.685
150 | una botella | 0.316 | -2.685
151 | una botella | 0.316 | -2.685
152 | una botella | 0.316 | -2.685
153 | una botella | 0.316 | -2.685
154 | una botella | 0.316 | -2.685
155 | una botella | 0.316 | -2.686
156 | una botella | 0.316 | -2.685
157 | una botella | 0.316 | -2.685
158 | una botella | 0.326 | -2.687
159 | una botella | 0.316 | -2.685
160 | una botella | 0.316 | -2.685
161 | una botella | 0.316 | -2.685
162 | una botella | 0.316 | -2.685
163 | una botella | 0.316 | -2.685
164 | una botella | 0.316 | -2.685
165 | una botella | 0.326 | -2.688
166 | una botella | 0.316 | -2.685
