ID | CLASE | X (MAPA) | Y (MAPA)
167 | una botella | 0.326 | -2.687
168 | una botella | 0.326 | -2.687
169 | una botella | 0.316 | -2.686
170 | una botella | 0.316 | -2.685
171 | una botella | 0.316 | -2.685
172 | una botella | 0.316 | -2.685
173 | una botella | 0.316 | -2.685
174 | una botella | 0.316 | -2.685
175 | una botella | 0.316 | -2.685
176 | una botella | 0.316 | -2.685
177 | una botella | 0.316 | -2.685
178 | una botella | 0.316 | -2.685
179 | una botella | 0.316 | -2.685
180 | una botella | 0.316 | -2.685
181 | una botella | 0.326 | -2.687
182 | una botella | 0.316 | -2.685
183 | una botella | 0.326 | -2.687
184 | una botella | 0.316 | -2.685
185 | una botella | 0.316 | -2.685
186 | una botella | 0.316 | -2.685
187 | una botella | 0.316 | -2.685
188 | una botella | 0.316 | -2.685
189 | una botella | 0.316 | -2.685
190 | una botella | 0.326 | -2.688
191 | una botella | 0.316 | -2.685
192 | una botella | 0.316 | -2.685
193 | una botella | 0.316 | -2.685
194 | una botella | 0.316 | -2.685
195 | una botella | 0.316 | -2.685
196 | una botella | 0.316 | -2.685
197 | una botella | 0.326 | -2.687
198 | una botella | 0.316 | -2.685
199 | una botella | 0.326 | -2.687
200 | una botella | 0.326 | -2.688
201 | una botella | 0.316 | -2.685
202 | una botella | 0.316 | -2.685
203 | una botella | 0.326 | -2.688
204 | una botella | 0.326 | -2.687
205 | una botella | 0.316 | -2.685
206 | una botella | 0.316 | -2.685
207 | una botella | 0.316 | -2.684
208 | una botella | 0.313 | -2.69
209 | una botella | -0.184 | -3.407
210 | una botella | -0.109 | -3.508
211 | una botella | -0.116 | -3.58
212 | una botella | -2.05 | -2.771
213 | una botella | -2.189 | -0.501
214 | una botella | -2.308 | -0.48
